periodo;sexo;provincia;nivel_geografico;ubicacion;causa_mortalidad;tasa_mortalidad;esperanza_vida
2010;Ambos sexos;Alicante;DEPARTAMENTO;Elx Hospital General;Cardio;80.31;21.6
2010;Ambos sexos;Alicante;DEPARTAMENTO;Elx-Crevillent;Cardio;122.45;19.0
2010;Ambos sexos;Valencia;DEPARTAMENTO;Gandia;Cardio;84.3;20.6
2010;Ambos sexos;Castellón;DEPARTAMENTO;La Plana;Cardio;74.7;20.2
2010;Ambos sexos;Valencia;DEPARTAMENTO;Manises;Cardio;100.4;20.2
2010;Ambos sexos;Alicante;DEPARTAMENTO;Marina Baixa;Cardio;133.05;22.3
2010;Ambos sexos;Alicante;DEPARTAMENTO;Orihuela;Cardio;95.76;19.8
2010;Ambos sexos;Valencia;DEPARTAMENTO;Requena;Cardio;99.66;19.5
2010;Ambos sexos;Valencia;DEPARTAMENTO;Ribera;Cardio;95.33;19.8
2010;Ambos sexos;Valencia;DEPARTAMENTO;Sagunt;Cardio;86.21;20.8
2010;Ambos sexos;Alicante;DEPARTAMENTO;Sant Joan d'Alacant;Cardio;118.01;21.5
2010;Ambos sexos;Alicante;DEPARTAMENTO;Torrevieja;Cardio;80.97;24.9
2010;Ambos sexos;Valencia;DEPARTAMENTO;Valencia Hospital General;Cardio;91.35;20.6
2010;Ambos sexos;Valencia;DEPARTAMENTO;Valencia La Fe;Cardio;85.33;20.5
2010;Ambos sexos;Castellón;DEPARTAMENTO;Vinaròs;Cardio;74.68;20.8
2010;Ambos sexos;Valencia;DEPARTAMENTO;Xàtiva-Ontinyent;Cardio;104.05;19.8
2010;Ambos sexos;Alicante;PROVINCIA;Alicante;Cardio;101.95;21.3
2010;Ambos sexos;Castellón;PROVINCIA;Castellón;Cardio;85.39;20.5
2010;Ambos sexos;Valencia;PROVINCIA;Valencia;Cardio;94.27;20.1
2010;Hombres;Comunitat Valenciana;COMUNIDAD AUTÓNOMA;Comunitat Valenciana;Cardio;135.85;18.5
2010;Hombres;Alicante;DEPARTAMENTO;Alacant Hospital General;Cardio;166.18;18.1
2010;Hombres;Alicante;DEPARTAMENTO;Alcoi;Cardio;141.51;18.1
2010;Hombres;Valencia;DEPARTAMENTO;Arnau de Vilanova-Llíria;Cardio;149.36;18.0
2010;Hombres;Castellón;DEPARTAMENTO;Castelló;Cardio;117.39;19.1
2010;Hombres;Valencia;DEPARTAMENTO;Clínic-Malvarrosa;Cardio;126.4;17.8
2010;Hombres;Valencia;DEPARTAMENTO;Doctor Peset;Cardio;130.85;18.8
2010;Hombres;Alicante;DEPARTAMENTO;Dénia;Cardio;146.01;19.6
2010;Hombres;Alicante;DEPARTAMENTO;Elda;Cardio;115.46;17.9
2010;Hombres;Alicante;DEPARTAMENTO;Elx Hospital General;Cardio;128.01;19.4
2010;Hombres;Alicante;DEPARTAMENTO;Elx-Crevillent;Cardio;167.19;17.4
2010;Hombres;Valencia;DEPARTAMENTO;Gandia;Cardio;132.83;18.0
2010;Hombres;Castellón;DEPARTAMENTO;La Plana;Cardio;106.53;18.2
2010;Hombres;Valencia;DEPARTAMENTO;Manises;Cardio;143.86;18.2
2010;Hombres;Alicante;DEPARTAMENTO;Marina Baixa;Cardio;155.3;20.2
2010;Hombres;Alicante;DEPARTAMENTO;Orihuela;Cardio;148.24;18.2
2010;Hombres;Valencia;DEPARTAMENTO;Requena;Cardio;116.1;18.2
2010;Hombres;Valencia;DEPARTAMENTO;Ribera;Cardio;139.49;17.7
2010;Hombres;Valencia;DEPARTAMENTO;Sagunt;Cardio;129.56;18.8
2010;Hombres;Alicante;DEPARTAMENTO;Sant Joan d'Alacant;Cardio;142.21;19.2
2010;Hombres;Alicante;DEPARTAMENTO;Torrevieja;Cardio;115.86;23.7
2010;Hombres;Valencia;DEPARTAMENTO;Valencia Hospital General;Cardio;134.08;18.1
2010;Hombres;Valencia;DEPARTAMENTO;Valencia La Fe;Cardio;142.61;17.4
2010;Hombres;Castellón;DEPARTAMENTO;Vinaròs;Cardio;99.27;18.6
2010;Hombres;Valencia;DEPARTAMENTO;Xàtiva-Ontinyent;Cardio;158.66;17.6
2010;Hombres;Alicante;PROVINCIA;Alicante;Cardio;134.51;19.7
2010;Hombres;Castellón;PROVINCIA;Castellón;Cardio;117.62;18.5
2010;Hombres;Valencia;PROVINCIA;Valencia;Cardio;141.88;17.7
2010;Mujeres;Comunitat Valenciana;COMUNIDAD AUTÓNOMA;Comunitat Valenciana;Cardio;65.73;22.4
2010;Mujeres;Alicante;DEPARTAMENTO;Alacant Hospital General;Cardio;88.79;23.1
2010;Mujeres;Alicante;DEPARTAMENTO;Alcoi;Cardio;62.77;22.2
2010;Mujeres;Valencia;DEPARTAMENTO;Arnau de Vilanova-Llíria;Cardio;69.24;22.3
2010;Mujeres;Castellón;DEPARTAMENTO;Castelló;Cardio;64.77;22.9
2010;Mujeres;Valencia;DEPARTAMENTO;Clínic-Malvarrosa;Cardio;44.61;22.8
2010;Mujeres;Valencia;DEPARTAMENTO;Doctor Peset;Cardio;55.36;22.5
2010;Mujeres;Alicante;DEPARTAMENTO;Dénia;Cardio;68.45;22.9
2010;Mujeres;Alicante;DEPARTAMENTO;Elda;Cardio;53.75;22.3
2010;Mujeres;Alicante;DEPARTAMENTO;Elx Hospital General;Cardio;42.7;23.7
2010;Mujeres;Alicante;DEPARTAMENTO;Elx-Crevillent;Cardio;90.63;20.4
2010;Mujeres;Valencia;DEPARTAMENTO;Gandia;Cardio;48.13;23.1
2010;Mujeres;Castellón;DEPARTAMENTO;La Plana;Cardio;51.22;22.0
2010;Mujeres;Valencia;DEPARTAMENTO;Manises;Cardio;65.57;22.1
2010;Mujeres;Alicante;DEPARTAMENTO;Marina Baixa;Cardio;112.83;24.3
2010;Mujeres;Alicante;DEPARTAMENTO;Orihuela;Cardio;54.96;21.2
2010;Mujeres;Valencia;DEPARTAMENTO;Requena;Cardio;84.29;20.8
2010;Mujeres;Valencia;DEPARTAMENTO;Ribera;Cardio;65.19;21.7
2010;Mujeres;Valencia;DEPARTAMENTO;Sagunt;Cardio;53.25;22.5
2010;Mujeres;Alicante;DEPARTAMENTO;Sant Joan d'Alacant;Cardio;98.7;23.5
2010;Mujeres;Alicante;DEPARTAMENTO;Torrevieja;Cardio;49.03;26.3
2010;Mujeres;Valencia;DEPARTAMENTO;Valencia Hospital General;Cardio;62.03;22.6
2010;Mujeres;Valencia;DEPARTAMENTO;Valencia La Fe;Cardio;48.96;23.3
2010;Mujeres;Castellón;DEPARTAMENTO;Vinaròs;Cardio;55.8;23.0
2010;Mujeres;Valencia;DEPARTAMENTO;Xàtiva-Ontinyent;Cardio;64.87;21.9
2010;Mujeres;Alicante;PROVINCIA;Alicante;Cardio;75.13;22.9
2010;Mujeres;Castellón;PROVINCIA;Castellón;Cardio;60.66;22.3
2010;Mujeres;Valencia;PROVINCIA;Valencia;Cardio;60.41;22.1
2010;Ambos sexos;Comunitat Valenciana;COMUNIDAD AUTÓNOMA;Comunitat Valenciana;Cerebro;77.81;20.6
2010;Ambos sexos;Alicante;DEPARTAMENTO;Alacant Hospital General;Cerebro;74.58;20.8
2010;Ambos sexos;Alicante;DEPARTAMENTO;Alcoi;Cerebro;85.74;20.2
2010;Ambos sexos;Valencia;DEPARTAMENTO;Arnau de Vilanova-Llíria;Cerebro;84.13;20.3
2010;Ambos sexos;Castellón;DEPARTAMENTO;Castelló;Cerebro;72.66;21.1
2010;Ambos sexos;Valencia;DEPARTAMENTO;Clínic-Malvarrosa;Cerebro;67.29;20.5
2010;Ambos sexos;Valencia;DEPARTAMENTO;Doctor Peset;Cerebro;61.45;20.9
2010;Ambos sexos;Alicante;DEPARTAMENTO;Dénia;Cerebro;63.36;21.3
2010;Ambos sexos;Alicante;DEPARTAMENTO;Elda;Cerebro;110.34;20.2
2010;Ambos sexos;Alicante;DEPARTAMENTO;Elx Hospital General;Cerebro;70.87;21.6
2010;Ambos sexos;Alicante;DEPARTAMENTO;Elx-Crevillent;Cerebro;105.89;19.0
2010;Ambos sexos;Valencia;DEPARTAMENTO;Gandia;Cerebro;82.03;20.6
2010;Ambos sexos;Castellón;DEPARTAMENTO;La Plana;Cerebro;94.45;20.2
2010;Ambos sexos;Valencia;DEPARTAMENTO;Manises;Cerebro;79.86;20.2
2010;Ambos sexos;Alicante;DEPARTAMENTO;Marina Baixa;Cerebro;60.67;22.3
2010;Ambos sexos;Alicante;DEPARTAMENTO;Orihuela;Cerebro;105.08;19.8
2010;Ambos sexos;Valencia;DEPARTAMENTO;Requena;Cerebro;98.48;19.5
2010;Ambos sexos;Valencia;DEPARTAMENTO;Ribera;Cerebro;90.69;19.8
2010;Ambos sexos;Valencia;DEPARTAMENTO;Sagunt;Cerebro;65.11;20.8
2010;Ambos sexos;Alicante;DEPARTAMENTO;Sant Joan d'Alacant;Cerebro;63.86;21.5
2010;Ambos sexos;Alicante;DEPARTAMENTO;Torrevieja;Cerebro;56.17;24.9
2010;Ambos sexos;Valencia;DEPARTAMENTO;Valencia Hospital General;Cerebro;67.97;20.6
2010;Ambos sexos;Valencia;DEPARTAMENTO;Valencia La Fe;Cerebro;68.1;20.5
2010;Ambos sexos;Castellón;DEPARTAMENTO;Vinaròs;Cerebro;76.68;20.8
2010;Ambos sexos;Valencia;DEPARTAMENTO;Xàtiva-Ontinyent;Cerebro;86.92;19.8
2010;Ambos sexos;Alicante;PROVINCIA;Alicante;Cerebro;76.14;21.3
2010;Ambos sexos;Castellón;PROVINCIA;Castellón;Cerebro;82.02;20.5
2010;Ambos sexos;Valencia;PROVINCIA;Valencia;Cerebro;78.04;20.1
2010;Hombres;Comunitat Valenciana;COMUNIDAD AUTÓNOMA;Comunitat Valenciana;Cerebro;82.84;18.5
2010;Hombres;Alicante;DEPARTAMENTO;Alacant Hospital General;Cerebro;91.5;18.1
2010;Hombres;Alicante;DEPARTAMENTO;Alcoi;Cerebro;89.33;18.1
2010;Hombres;Valencia;DEPARTAMENTO;Arnau de Vilanova-Llíria;Cerebro;83.68;18.0
2010;Hombres;Castellón;DEPARTAMENTO;Castelló;Cerebro;76.15;19.1
2010;Hombres;Valencia;DEPARTAMENTO;Clínic-Malvarrosa;Cerebro;59.59;17.8
2010;Hombres;Valencia;DEPARTAMENTO;Doctor Peset;Cerebro;65.45;18.8
2010;Hombres;Alicante;DEPARTAMENTO;Dénia;Cerebro;64.8;19.6
2010;Hombres;Alicante;DEPARTAMENTO;Elda;Cerebro;130.97;17.9
2010;Hombres;Alicante;DEPARTAMENTO;Elx Hospital General;Cerebro;83.96;19.4
2010;Hombres;Alicante;DEPARTAMENTO;Elx-Crevillent;Cerebro;101.53;17.4
2010;Hombres;Valencia;DEPARTAMENTO;Gandia;Cerebro;83.51;18.0
2010;Hombres;Castellón;DEPARTAMENTO;La Plana;Cerebro;102.44;18.2
2010;Hombres;Valencia;DEPARTAMENTO;Manises;Cerebro;89.0;18.2
2010;Hombres;Alicante;DEPARTAMENTO;Marina Baixa;Cerebro;69.39;20.2
2010;Hombres;Alicante;DEPARTAMENTO;Orihuela;Cerebro;123.83;18.2
2010;Hombres;Valencia;DEPARTAMENTO;Requena;Cerebro;119.47;18.2
2010;Hombres;Valencia;DEPARTAMENTO;Ribera;Cerebro;90.31;17.7
2010;Hombres;Valencia;DEPARTAMENTO;Sagunt;Cerebro;77.93;18.8
2010;Hombres;Alicante;DEPARTAMENTO;Sant Joan d'Alacant;Cerebro;71.1;19.2
2010;Hombres;Alicante;DEPARTAMENTO;Torrevieja;Cerebro;50.27;23.7
2010;Hombres;Valencia;DEPARTAMENTO;Valencia Hospital General;Cerebro;73.49;18.1
2010;Hombres;Valencia;DEPARTAMENTO;Valencia La Fe;Cerebro;70.38;17.4
2010;Hombres;Castellón;DEPARTAMENTO;Vinaròs;Cerebro;95.51;18.6
2010;Hombres;Valencia;DEPARTAMENTO;Xàtiva-Ontinyent;Cerebro;105.59;17.6
2010;Hombres;Alicante;PROVINCIA;Alicante;Cerebro;80.68;19.7
2010;Hombres;Castellón;PROVINCIA;Castellón;Cerebro;87.68;18.5
2010;Hombres;Valencia;PROVINCIA;Valencia;Cerebro;83.32;17.7
2010;Mujeres;Comunitat Valenciana;COMUNIDAD AUTÓNOMA;Comunitat Valenciana;Cerebro;72.63;22.4
2010;Mujeres;Alicante;DEPARTAMENTO;Alacant Hospital General;Cerebro;62.26;23.1
2010;Mujeres;Alicante;DEPARTAMENTO;Alcoi;Cerebro;78.79;22.2
2010;Mujeres;Valencia;DEPARTAMENTO;Arnau de Vilanova-Llíria;Cerebro;83.74;22.3
2010;Mujeres;Castellón;DEPARTAMENTO;Castelló;Cerebro;69.49;22.9
2010;Mujeres;Valencia;DEPARTAMENTO;Clínic-Malvarrosa;Cerebro;68.05;22.8
2010;Mujeres;Valencia;DEPARTAMENTO;Doctor Peset;Cerebro;57.95;22.5
2010;Mujeres;Alicante;DEPARTAMENTO;Dénia;Cerebro;60.79;22.9
2010;Mujeres;Alicante;DEPARTAMENTO;Elda;Cerebro;95.21;22.3
2010;Mujeres;Alicante;DEPARTAMENTO;Elx Hospital General;Cerebro;60.08;23.7
2010;Mujeres;Alicante;DEPARTAMENTO;Elx-Crevillent;Cerebro;106.07;20.4
2010;Mujeres;Valencia;DEPARTAMENTO;Gandia;Cerebro;78.65;23.1
2010;Mujeres;Castellón;DEPARTAMENTO;La Plana;Cerebro;87.97;22.0
2010;Mujeres;Valencia;DEPARTAMENTO;Manises;Cerebro;70.8;22.1
2010;Mujeres;Alicante;DEPARTAMENTO;Marina Baixa;Cerebro;52.31;24.3
2010;Mujeres;Alicante;DEPARTAMENTO;Orihuela;Cerebro;89.35;21.2
2010;Mujeres;Valencia;DEPARTAMENTO;Requena;Cerebro;81.89;20.8
2010;Mujeres;Valencia;DEPARTAMENTO;Ribera;Cerebro;87.75;21.7
2010;Mujeres;Valencia;DEPARTAMENTO;Sagunt;Cerebro;55.85;22.5
2010;Mujeres;Alicante;DEPARTAMENTO;Sant Joan d'Alacant;Cerebro;58.03;23.5
2010;Mujeres;Alicante;DEPARTAMENTO;Torrevieja;Cerebro;59.59;26.3
2010;Mujeres;Valencia;DEPARTAMENTO;Valencia Hospital General;Cerebro;62.72;22.6
2010;Mujeres;Valencia;DEPARTAMENTO;Valencia La Fe;Cerebro;65.35;23.3
2010;Mujeres;Castellón;DEPARTAMENTO;Vinaròs;Cerebro;61.45;23.0
2010;Mujeres;Valencia;DEPARTAMENTO;Xàtiva-Ontinyent;Cerebro;74.39;21.9
2010;Mujeres;Alicante;PROVINCIA;Alicante;Cerebro;70.81;22.9
2010;Mujeres;Castellón;PROVINCIA;Castellón;Cerebro;76.79;22.3
2010;Mujeres;Valencia;PROVINCIA;Valencia;Cerebro;72.95;22.1
2010;Ambos sexos;Comunitat Valenciana;COMUNIDAD AUTÓNOMA;Comunitat Valenciana;General;911.19;20.6
2010;Ambos sexos;Alicante;DEPARTAMENTO;Alacant Hospital General;General;896.46;20.8
2010;Ambos sexos;Alicante;DEPARTAMENTO;Alcoi;General;932.22;20.2
2010;Ambos sexos;Valencia;DEPARTAMENTO;Arnau de Vilanova-Llíria;General;947.73;20.3
2010;Ambos sexos;Castellón;DEPARTAMENTO;Castelló;General;859.44;21.1
2010;Ambos sexos;Valencia;DEPARTAMENTO;Clínic-Malvarrosa;General;908.49;20.5
2010;Ambos sexos;Valencia;DEPARTAMENTO;Doctor Peset;General;883.21;20.9
2010;Ambos sexos;Alicante;DEPARTAMENTO;Dénia;General;871.02;21.3
2010;Ambos sexos;Alicante;DEPARTAMENTO;Elda;General;926.31;20.2
2010;Ambos sexos;Alicante;DEPARTAMENTO;Elx Hospital General;General;794.62;21.6
2010;Ambos sexos;Alicante;DEPARTAMENTO;Elx-Crevillent;General;1089.69;19.0
2010;Ambos sexos;Valencia;DEPARTAMENTO;Gandia;General;921.64;20.6
2010;Ambos sexos;Castellón;DEPARTAMENTO;La Plana;General;947.25;20.2
2010;Ambos sexos;Valencia;DEPARTAMENTO;Manises;General;945.41;20.2
2010;Ambos sexos;Alicante;DEPARTAMENTO;Marina Baixa;General;798.57;22.3
2010;Ambos sexos;Alicante;DEPARTAMENTO;Orihuela;General;996.02;19.8
2010;Ambos sexos;Valencia;DEPARTAMENTO;Requena;General;1035.37;19.5
2010;Ambos sexos;Valencia;DEPARTAMENTO;Ribera;General;998.24;19.8
2010;Ambos sexos;Valencia;DEPARTAMENTO;Sagunt;General;892.3;20.8
2010;Ambos sexos;Alicante;DEPARTAMENTO;Sant Joan d'Alacant;General;814.78;21.5
2010;Ambos sexos;Alicante;DEPARTAMENTO;Torrevieja;General;649.22;24.9
2010;Ambos sexos;Valencia;DEPARTAMENTO;Valencia Hospital General;General;921.41;20.6
2010;Ambos sexos;Valencia;DEPARTAMENTO;Valencia La Fe;General;919.17;20.5
2010;Ambos sexos;Castellón;DEPARTAMENTO;Vinaròs;General;883.99;20.8
2010;Ambos sexos;Valencia;DEPARTAMENTO;Xàtiva-Ontinyent;General;1002.06;19.8
2010;Ambos sexos;Alicante;PROVINCIA;Alicante;General;836.77;21.3
2010;Ambos sexos;Castellón;PROVINCIA;Castellón;General;914.09;20.5
2010;Ambos sexos;Valencia;PROVINCIA;Valencia;General;967.93;20.1
2010;Hombres;Comunitat Valenciana;COMUNIDAD AUTÓNOMA;Comunitat Valenciana;General;1153.39;18.5
2010;Hombres;Alicante;DEPARTAMENTO;Alacant Hospital General;General;1208.84;18.1
2010;Hombres;Alicante;DEPARTAMENTO;Alcoi;General;1170.29;18.1
2010;Hombres;Valencia;DEPARTAMENTO;Arnau de Vilanova-Llíria;General;1217.05;18.0
2010;Hombres;Castellón;DEPARTAMENTO;Castelló;General;1072.25;19.1
2010;Hombres;Valencia;DEPARTAMENTO;Clínic-Malvarrosa;General;1219.11;17.8
2010;Hombres;Valencia;DEPARTAMENTO;Doctor Peset;General;1120.94;18.8
2010;Hombres;Alicante;DEPARTAMENTO;Dénia;General;1060.25;19.6
2010;Hombres;Alicante;DEPARTAMENTO;Elda;General;1210.76;17.9
2010;Hombres;Alicante;DEPARTAMENTO;Elx Hospital General;General;1014.11;19.4
2010;Hombres;Alicante;DEPARTAMENTO;Elx-Crevillent;General;1297.58;17.4
2010;Hombres;Valencia;DEPARTAMENTO;Gandia;General;1220.49;18.0
2010;Hombres;Castellón;DEPARTAMENTO;La Plana;General;1186.17;18.2
2010;Hombres;Valencia;DEPARTAMENTO;Manises;General;1196.84;18.2
2010;Hombres;Alicante;DEPARTAMENTO;Marina Baixa;General;980.66;20.2
2010;Hombres;Alicante;DEPARTAMENTO;Orihuela;General;1206.81;18.2
2010;Hombres;Valencia;DEPARTAMENTO;Requena;General;1232.67;18.2
2010;Hombres;Valencia;DEPARTAMENTO;Ribera;General;1263.71;17.7
2010;Hombres;Valencia;DEPARTAMENTO;Sagunt;General;1124.02;18.8
2010;Hombres;Alicante;DEPARTAMENTO;Sant Joan d'Alacant;General;1067.74;19.2
2010;Hombres;Alicante;DEPARTAMENTO;Torrevieja;General;767.62;23.7
